Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-12-26 00:00:00,12007.55,27371.35,50.3
2022-12-26 01:00:00,11802.28,27398.46,36.98
2022-12-26 02:00:00,11841.42,28143.27,27.02
2022-12-26 03:00:00,11823.17,28766.32,21.3
2022-12-26 04:00:00,11846.21,29897.67,17.9
2022-12-26 05:00:00,11893.27,31015.89,16.33
2022-12-26 06:00:00,11969.51,33028.4,18.11
2022-12-26 07:00:00,12028.11,35025.82,23.29
2022-12-26 08:00:00,12069.25,36623.98,38.68
2022-12-26 09:00:00,12276.65,38791.96,53.57
2022-12-26 10:00:00,12519.4,41199.28,59.3
2022-12-26 11:00:00,12696.41,43570.24,59
2022-12-26 12:00:00,12781.99,43670.59,54.9
2022-12-26 13:00:00,12991.49,44048.2,29.99
2022-12-26 14:00:00,13108.4,42748.26,32.64
2022-12-26 15:00:00,13153.04,40928.39,33.99
2022-12-26 16:00:00,13538.92,39503.77,47.63
2022-12-26 17:00:00,14572.8,38919.14,54.98
2022-12-26 18:00:00,14757.41,38831.59,52.2
2022-12-26 19:00:00,14315.4,38073.7,59.17
2022-12-26 20:00:00,13955.53,38406.28,58.43
2022-12-26 21:00:00,13661.17,38141.36,59.04
2022-12-26 22:00:00,13229.74,37888.61,48.55
2022-12-26 23:00:00,12834.34,38112.78,19.48
2022-12-27 00:00:00,12700.22,36190.45,23.36
2022-12-27 01:00:00,12655.58,35527.32,9.98
2022-12-27 02:00:00,12707.81,34514.39,5.69
2022-12-27 03:00:00,12847.58,34185.98,5
2022-12-27 04:00:00,12978.68,34967.49,11.46
2022-12-27 05:00:00,13238.15,35934.7,19.59
2022-12-27 06:00:00,13852.24,38424.93,30.42
2022-12-27 07:00:00,14999.23,38776.19,80.96
2022-12-27 08:00:00,16456.47,41385.75,95.9
2022-12-27 09:00:00,16915.91,42531.06,100.08
2022-12-27 10:00:00,16482.64,45288.03,95.93
2022-12-27 11:00:00,16149.07,47301.79,108.42
2022-12-27 12:00:00,15564.42,46508.23,110.38
2022-12-27 13:00:00,15022.34,43989.72,124.36
2022-12-27 14:00:00,15513.43,38891.77,139.08
2022-12-27 15:00:00,17403.51,33088.02,143.32
2022-12-27 16:00:00,18153.44,31381.79,147.56
2022-12-27 17:00:00,18343.96,33653.63,158.69
2022-12-27 18:00:00,18025.68,35151.6,164.69
2022-12-27 19:00:00,17277.55,36722.19,156.93
2022-12-27 20:00:00,16389.06,36860.09,147.56
2022-12-27 21:00:00,15468.71,36965.75,128.8
2022-12-27 22:00:00,14121.62,36482.81,107.84
2022-12-27 23:00:00,12692.77,36664.31,85.62
2022-12-28 00:00:00,12458.68,37669.24,40.28
2022-12-28 01:00:00,12475.23,37694.51,33.13
2022-12-28 02:00:00,12360.55,36619.59,10.31
2022-12-28 03:00:00,12241.35,34597.36,0.05
2022-12-28 04:00:00,12265.07,36445.54,0.03
2022-12-28 05:00:00,12442.31,36693.34,0.1
2022-12-28 06:00:00,12642.57,41078.88,16.97
2022-12-28 07:00:00,12689.09,44643.15,31.41
2022-12-28 08:00:00,12693.53,46375.25,43.24
2022-12-28 09:00:00,12486.68,47179.3,63.63
2022-12-28 10:00:00,12073.56,48248.94,68.38
2022-12-28 11:00:00,11481.66,49828.42,59.95
2022-12-28 12:00:00,11071.68,50273.08,52.08
2022-12-28 13:00:00,10985.39,46262.38,47.09
2022-12-28 14:00:00,11128.49,45530.74,71.1
2022-12-28 15:00:00,11150.53,42876.32,71.08
2022-12-28 16:00:00,11667.69,41868.95,85.77
2022-12-28 17:00:00,12113.84,43043.91,89.71
2022-12-28 18:00:00,12249.47,43899.12,87.43
2022-12-28 19:00:00,12277.39,42673,71.77
2022-12-28 20:00:00,12124.66,42305.01,55.1
2022-12-28 21:00:00,11993.28,41152.86,46.42
2022-12-28 22:00:00,11748.09,42048.24,35.45
2022-12-28 23:00:00,11838.83,41721.15,21.05
2022-12-29 00:00:00,11160.8,39698.71,-1.01
2022-12-29 01:00:00,10744.81,37613.61,-1.05
2022-12-29 02:00:00,10805.54,37074.03,-1.1
2022-12-29 03:00:00,10784.58,37054.99,-2.18
2022-12-29 04:00:00,11148.49,36695.51,-2.05
2022-12-29 05:00:00,11318.79,39154.87,-0.98
2022-12-29 06:00:00,11475.15,41075.62,-0.05
2022-12-29 07:00:00,12287.91,43114.33,0.09
2022-12-29 08:00:00,12771.24,44195.03,8.98
2022-12-29 09:00:00,13146.5,45889.66,5.97
2022-12-29 10:00:00,13640.65,47437.64,5.28
2022-12-29 11:00:00,13526.9,49582.38,4.01
2022-12-29 12:00:00,13401.97,51533.25,1.99
2022-12-29 13:00:00,13239.44,50500.31,3.4
2022-12-29 14:00:00,13030.13,49028.16,19.95
2022-12-29 15:00:00,12699.69,45729.98,24.54
2022-12-29 16:00:00,12846.6,43287.51,27.2
2022-12-29 17:00:00,13058.4,42030.65,34.54
2022-12-29 18:00:00,13332.33,41248.88,51.41
2022-12-29 19:00:00,13194,40820.86,47.94
2022-12-29 20:00:00,13321.7,39834.43,26.62
2022-12-29 21:00:00,13195.63,40403.68,25.01
2022-12-29 22:00:00,13070.23,39994.02,26.31
2022-12-29 23:00:00,12833.5,40020.36,21.07
2022-12-30 00:00:00,12630.88,38812.09,11.17
2022-12-30 01:00:00,12853.97,36225,5.09
2022-12-30 02:00:00,12696.25,33998.35,3.09
2022-12-30 03:00:00,12017.06,31967.52,0.65
2022-12-30 04:00:00,11119.97,32150.07,0.57
2022-12-30 05:00:00,10741.18,33513.24,4.88
2022-12-30 06:00:00,10690.46,34478.58,10.93
2022-12-30 07:00:00,10757.08,34376.31,24.13
2022-12-30 08:00:00,10799.5,35431.18,27.69
2022-12-30 09:00:00,10741.75,38219.32,29.08
2022-12-30 10:00:00,10707.9,41763.51,26.09
2022-12-30 11:00:00,10741.69,45065.72,24.72
2022-12-30 12:00:00,10615.79,46378,17.74
2022-12-30 13:00:00,10754.46,45212.85,19.87
2022-12-30 14:00:00,11265.31,43234.45,25.64
2022-12-30 15:00:00,11553.79,43975.03,27.97
2022-12-30 16:00:00,12184.56,46907.96,21.01
2022-12-30 17:00:00,13088.98,48374.87,30.78
2022-12-30 18:00:00,13382.59,49584.85,22.4
2022-12-30 19:00:00,13239.95,49044.07,13.79
2022-12-30 20:00:00,13335.22,45415.86,2.63
2022-12-30 21:00:00,13254.8,43866.17,0.69
2022-12-30 22:00:00,13014.27,41732.3,0.4
2022-12-30 23:00:00,12162.61,39854.71,0
2022-12-31 00:00:00,11019.67,38376.94,-0.03
2022-12-31 01:00:00,10205.94,37458.22,-0.07
2022-12-31 02:00:00,9813.45,35492.47,-0.03
2022-12-31 03:00:00,9716.88,33942.51,-0.04
2022-12-31 04:00:00,9666.75,33539.15,-0.03
2022-12-31 05:00:00,9607.07,34161.29,-0.02
2022-12-31 06:00:00,9501.88,34148.13,-0.01
2022-12-31 07:00:00,9498.07,34516.72,-0.05
2022-12-31 08:00:00,9454.37,36730.51,0.63
2022-12-31 09:00:00,9414.41,38161.65,-0.03
2022-12-31 10:00:00,9434.67,42111.33,-0.3
2022-12-31 11:00:00,9354.25,45191.72,-1.66
2022-12-31 12:00:00,9373.77,47008.93,-3.78
2022-12-31 13:00:00,9435.52,47490.96,-3.44
2022-12-31 14:00:00,9439.38,45357.86,-2.07
2022-12-31 15:00:00,9443.08,42693.89,-1.98
2022-12-31 16:00:00,9455.97,41621.34,-0.9
2022-12-31 17:00:00,9556.66,42753.36,0
2022-12-31 18:00:00,9533.77,42044.34,-0.01
2022-12-31 19:00:00,9522.78,40904.44,-1.01
2022-12-31 20:00:00,9476.04,40782.29,-1.39
2022-12-31 21:00:00,9498.29,40473.18,-1.04
2022-12-31 22:00:00,9508.24,40051.21,-1.07
2022-12-31 23:00:00,9519.36,38452.83,-0.68
2023-01-01 00:00:00,9020.97,36584.93,-5.17
2023-01-01 01:00:00,8802.2,37617.73,-1.07
2023-01-01 02:00:00,8779.88,37817.91,-1.47
2023-01-01 03:00:00,8778.39,35301.35,-5.08
2023-01-01 04:00:00,8740.54,34784.66,-4.49
2023-01-01 05:00:00,8678.19,34999.66,-5.4
2023-01-01 06:00:00,8723.29,34792.58,-5.02
2023-01-01 07:00:00,8742.42,35571.33,-1.3
2023-01-01 08:00:00,8707.39,35079.11,-1.44
2023-01-01 09:00:00,8669.23,37132.9,-1.09
2023-01-01 10:00:00,8643.21,39331.88,-1.07
2023-01-01 11:00:00,8668.2,40614.46,-1.07
2023-01-01 12:00:00,8670.51,39523.82,-0.79
2023-01-01 13:00:00,8893.13,37681.96,-0.27
2023-01-01 14:00:00,8962.89,37429.96,0.85
2023-01-01 15:00:00,8997.27,36005.91,23.53
2023-01-01 16:00:00,9644.94,33093.58,36.54
2023-01-01 17:00:00,9450.49,31931.45,46.03
2023-01-01 18:00:00,9941.81,31271.61,55.57
2023-01-01 19:00:00,9846.32,30707.94,54.95
2023-01-01 20:00:00,9671.5,30609.16,49.23
2023-01-01 21:00:00,9431.85,30924.97,44.99
2023-01-01 22:00:00,9462.41,29025.66,45.96
2023-01-01 23:00:00,9512.29,28297.51,35
