Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2024-08-05 00:00:00,14901.88,13629.84,103.08
2024-08-05 01:00:00,14353.56,13041.55,85.32
2024-08-05 02:00:00,14027.67,12591.98,82.3
2024-08-05 03:00:00,14035.91,12519.1,85.35
2024-08-05 04:00:00,14397.3,12250.98,83.59
2024-08-05 05:00:00,15453.52,11856.85,97.24
2024-08-05 06:00:00,16380.96,12516.75,118.98
2024-08-05 07:00:00,16622.31,15185.12,136.75
2024-08-05 08:00:00,16576.73,19562.95,113.97
2024-08-05 09:00:00,15418.4,25912.94,102.83
2024-08-05 10:00:00,13016.45,32773.8,74.5
2024-08-05 11:00:00,10066.68,38771.96,64.3
2024-08-05 12:00:00,8224.41,42874.6,57.12
2024-08-05 13:00:00,7960.92,44743.18,42.05
2024-08-05 14:00:00,8387.79,44576.82,36.35
2024-08-05 15:00:00,8791.9,42232.48,51.43
2024-08-05 16:00:00,10257.44,37008.91,70.1
2024-08-05 17:00:00,13654.75,29599.24,85.4
2024-08-05 18:00:00,18706.89,20621.54,108.97
2024-08-05 19:00:00,21367.17,13384.01,152.76
2024-08-05 20:00:00,21794.49,9933.17,250.01
2024-08-05 21:00:00,21841.53,9405.49,170.93
2024-08-05 22:00:00,21382.4,9899.28,120.3
2024-08-05 23:00:00,20656.51,10453.24,102.92
2024-08-06 00:00:00,19780.19,10891.75,103.09
2024-08-06 01:00:00,19030.56,11284.56,95.57
2024-08-06 02:00:00,18331.9,11353.05,89.24
2024-08-06 03:00:00,17972.1,11241.28,85.24
2024-08-06 04:00:00,18221.69,10935.45,85.76
2024-08-06 05:00:00,19063.56,10960.89,95.77
2024-08-06 06:00:00,19487.11,12428.64,123.86
2024-08-06 07:00:00,19300.16,17758.46,126.04
2024-08-06 08:00:00,17110.74,25564.31,85.29
2024-08-06 09:00:00,12294.72,34530.41,74.51
2024-08-06 10:00:00,9342.88,42412.27,36.04
2024-08-06 11:00:00,8751.45,47726.14,21.43
2024-08-06 12:00:00,8642.03,50417.6,15.86
2024-08-06 13:00:00,8386.82,50445.48,2.95
2024-08-06 14:00:00,8323.78,48529.71,4.79
2024-08-06 15:00:00,8626.95,44354.8,19.44
2024-08-06 16:00:00,10310.44,38070.38,39.71
2024-08-06 17:00:00,14557.54,30329.08,82.19
2024-08-06 18:00:00,19288.88,21260.44,106.29
2024-08-06 19:00:00,21413.51,14089.88,174.58
2024-08-06 20:00:00,21933.34,11655.74,230.85
2024-08-06 21:00:00,21697.03,12522.65,170.45
2024-08-06 22:00:00,20640.86,13887.64,118.54
2024-08-06 23:00:00,20002.54,14114.57,100.03
2024-08-07 00:00:00,18203.94,14210.44,91.39
2024-08-07 01:00:00,17507.33,14273.3,83.24
2024-08-07 02:00:00,16980.78,13686.03,79.29
2024-08-07 03:00:00,17225.41,13012.58,83.24
2024-08-07 04:00:00,17174.99,12537.32,86.43
2024-08-07 05:00:00,17666.71,12313.12,104.36
2024-08-07 06:00:00,17890.39,13848.12,126.07
2024-08-07 07:00:00,17791.75,18458.98,127.98
2024-08-07 08:00:00,17333.52,24137.5,109.06
2024-08-07 09:00:00,15232.28,30528.31,88.91
2024-08-07 10:00:00,13486.1,36031.31,73.56
2024-08-07 11:00:00,12811.05,38557.12,62.49
2024-08-07 12:00:00,12761.33,40138.5,42.14
2024-08-07 13:00:00,11738.68,39726.46,35.05
2024-08-07 14:00:00,11628.26,37601.79,51.19
2024-08-07 15:00:00,12793.6,34939.21,69.28
2024-08-07 16:00:00,14574.01,32294.46,85.74
2024-08-07 17:00:00,17349.46,27984.09,105.2
2024-08-07 18:00:00,18913.55,22783.26,106.41
2024-08-07 19:00:00,20174.22,18137.17,119.75
2024-08-07 20:00:00,20259.79,14087.52,149.28
2024-08-07 21:00:00,20246.6,13005.89,134.25
2024-08-07 22:00:00,20204.22,12937.82,112.74
2024-08-07 23:00:00,19890.38,12657.44,102.78
2024-08-08 00:00:00,18587.44,11910.81,96.43
2024-08-08 01:00:00,17484.07,11631.89,88.06
2024-08-08 02:00:00,17383.68,11741.49,87.36
2024-08-08 03:00:00,17486.19,11478.46,88.06
2024-08-08 04:00:00,17560.19,11523.81,88.27
2024-08-08 05:00:00,17975.64,12171.54,96.11
2024-08-08 06:00:00,18690.86,14302.22,110.93
2024-08-08 07:00:00,18864.86,16863.25,124.93
2024-08-08 08:00:00,18520.34,19912.17,114.41
2024-08-08 09:00:00,17179.78,24138,106.84
2024-08-08 10:00:00,14153.01,29050.2,86.1
2024-08-08 11:00:00,11502.5,35210.81,71.6
2024-08-08 12:00:00,9459.74,39943.58,57.09
2024-08-08 13:00:00,8974.75,42005.64,40.49
2024-08-08 14:00:00,8936.21,43632.72,32.18
2024-08-08 15:00:00,9007.75,41960.85,40.24
2024-08-08 16:00:00,9679.58,37344.73,57.81
2024-08-08 17:00:00,12611.09,30275.67,80.52
2024-08-08 18:00:00,16629.56,22193.65,101.92
2024-08-08 19:00:00,18998.97,14727.3,138.49
2024-08-08 20:00:00,19671.31,10896.18,197.31
2024-08-08 21:00:00,19572.98,10168.89,135
2024-08-08 22:00:00,19060.42,10800.28,102
2024-08-08 23:00:00,16647.38,13209.25,93.56
2024-08-09 00:00:00,14057.62,16097.49,103.71
2024-08-09 01:00:00,12454.92,18970.22,83.92
2024-08-09 02:00:00,11116.96,20500.43,67.34
2024-08-09 03:00:00,10518.21,22021.47,64.3
2024-08-09 04:00:00,10475.78,23673.22,53.31
2024-08-09 05:00:00,10281.99,25690.74,64.36
2024-08-09 06:00:00,10709.67,29921.98,80
2024-08-09 07:00:00,9476.38,35234.97,88.41
