Datum,Schlusskurs
2024-12-11,3.22
2024-12-10,3.0
2024-12-09,3.01
2024-12-06,2.92
2024-12-05,2.91
2024-12-04,2.89
2024-12-03,2.89
2024-12-02,3.06
2024-11-29,3.18
2024-11-27,3.03
2024-11-26,3.27
2024-11-25,3.21
2024-11-22,3.0
2024-11-21,3.19
2024-11-20,3.03
2024-11-19,2.83
2024-11-18,2.8
2024-11-15,2.67
2024-11-14,2.65
2024-11-13,2.82
2024-11-12,2.74
2024-11-11,2.74
2024-11-08,2.49
2024-11-07,2.49
2024-11-06,2.56
2024-11-05,2.44
2024-11-04,2.56
2024-11-01,2.46
2024-10-31,2.49
2024-10-30,2.62
2024-10-29,2.17
2024-10-28,2.14
2024-10-25,2.37
2024-10-24,2.33
2024-10-23,2.17
2024-10-22,2.14
2024-10-21,2.14
2024-10-18,2.08
2024-10-17,2.17
2024-10-16,2.18
2024-10-15,2.3
2024-10-14,2.28
2024-10-11,2.4
2024-10-10,2.45
2024-10-09,2.43
2024-10-08,2.49
2024-10-07,2.51
2024-10-04,2.6
2024-10-03,2.69
2024-10-02,2.62
2024-10-01,2.62
2024-09-30,2.62
2024-09-26,2.32
2024-09-25,2.37
2024-09-24,2.28
2024-09-23,2.35
2024-09-20,2.18
2024-09-19,2.11
2024-09-18,2.05
2024-09-17,2.09
2024-09-16,2.13
2024-09-13,2.09
2024-09-12,2.13
2024-09-11,2.06
2024-09-10,2.02
2024-09-09,1.97
2024-09-06,2.06
2024-09-05,2.03
2024-09-04,1.94
2024-09-03,1.99
2024-08-29,1.93
2024-08-28,1.74
2024-08-27,1.7
2024-08-26,1.76
2024-08-23,1.8
2024-08-22,1.85
2024-08-21,1.96
2024-08-20,1.98
2024-08-19,2.02
2024-08-16,1.92
2024-08-15,2.01
2024-08-14,2.02
2024-08-13,1.96
2024-08-12,2.0
2024-08-09,1.96
2024-08-08,1.95
2024-08-07,1.93
2024-08-06,1.84
2024-08-05,1.77
2024-08-02,1.81
2024-08-01,1.83
2024-07-31,1.88
2024-07-30,1.97
2024-07-29,1.76
2024-07-26,1.85
2024-07-25,1.88
2024-07-24,1.96
2024-07-23,2.02
2024-07-22,2.07
2024-07-19,1.96
2024-07-18,1.95
2024-07-17,1.86
2024-07-16,2.01
2024-07-15,1.98
2024-07-12,2.14
2024-07-11,2.09
2024-07-10,2.15
2024-07-09,2.16
2024-07-08,2.19
2024-07-05,2.14
2024-07-03,2.24
2024-07-02,2.27
2024-07-01,2.31
2024-06-28,2.43
2024-06-27,2.51
2024-06-26,2.46
2024-06-25,2.58
2024-06-24,2.62
2024-06-21,2.53
2024-06-20,2.56
2024-06-18,2.71
2024-06-17,2.6
2024-06-14,2.69
2024-06-13,2.76
2024-06-12,2.82
2024-06-11,2.91
2024-06-10,2.7
2024-06-07,2.7
2024-06-06,2.59
2024-06-05,2.54
2024-06-04,2.38
2024-06-03,2.53
2024-05-31,2.39
2024-05-30,2.37
2024-05-29,2.3
2024-05-28,2.38
2024-05-24,2.32
2024-05-23,2.46
2024-05-22,2.62
2024-05-21,2.46
2024-05-20,2.53
2024-05-17,2.42
2024-05-16,2.3
2024-05-15,2.22
2024-05-14,2.16
2024-05-13,2.21
2024-05-10,2.09
2024-05-09,2.13
2024-05-08,2.04
2024-05-07,2.05
2024-05-06,2.04
2024-05-03,1.99
2024-05-02,1.9
2024-05-01,1.8
2024-04-30,1.87
2024-04-29,1.89
2024-04-26,1.51
2024-04-25,1.53
2024-04-24,1.54
2024-04-23,1.69
2024-04-22,1.68
2024-04-19,1.64
2024-04-18,1.65
2024-04-17,1.6
2024-04-16,1.63
2024-04-15,1.59
2024-04-12,1.66
2024-04-11,1.64
2024-04-10,1.76
2024-04-09,1.72
2024-04-08,1.69
2024-04-05,1.65
2024-04-04,1.63
2024-04-03,1.7
2024-04-02,1.73
2024-04-01,1.71
2024-03-28,1.63
2024-03-27,1.59
2024-03-26,1.46
2024-03-25,1.49
2024-03-22,1.54
2024-03-21,1.55
2024-03-20,1.56
2024-03-19,1.6
2024-03-18,1.56
2024-03-15,1.52
2024-03-14,1.6
2024-03-13,1.52
2024-03-12,1.56
2024-03-11,1.61
2024-03-08,1.65
2024-03-07,1.66
2024-03-06,1.77
2024-03-05,1.81
2024-03-04,1.77
2024-03-01,1.7
2024-02-29,1.72
2024-02-28,1.74
