Datum,Schlusskurs
2024-12-11,108.31
2024-12-10,108.18
2024-12-09,107.92
2024-12-06,107.9
2024-12-05,108.16
2024-12-04,109.58
2024-12-03,110.62
2024-12-02,112.24
2024-11-29,114.91
2024-11-28,115.28
2024-11-27,114.8
2024-11-26,115.95
2024-11-25,116.14
2024-11-22,117.45
2024-11-21,117.03
2024-11-20,116.01
2024-11-19,115.52
2024-11-18,115.69
2024-11-15,116.42
2024-11-14,115.32
2024-11-13,114.02
2024-11-12,113.78
2024-11-11,113.35
2024-11-08,111.7
2024-11-07,109.9
2024-11-06,109.25
2024-11-05,108.07
2024-11-04,109.43
2024-11-01,109.47
2024-10-31,110.24
2024-10-30,110.75
2024-10-29,112.33
2024-10-28,110.76
2024-10-25,110.84
2024-10-24,110.13
2024-10-23,110.46
2024-10-22,109.98
2024-10-21,109.66
2024-10-18,109.83
2024-10-17,109.45
2024-10-16,108.7
2024-10-15,109.34
2024-10-14,110.7
2024-10-11,109.25
2024-10-10,110.32
2024-10-09,108.56
2024-10-08,109.07
2024-10-07,110.46
2024-10-04,111.31
2024-10-03,106.05
2024-10-02,105.09
2024-10-01,106.51
2024-09-30,106.87
2024-09-26,102.85
2024-09-25,103.25
2024-09-24,102.7
2024-09-23,103.17
2024-09-20,102.45
2024-09-19,102.35
2024-09-18,102.78
2024-09-17,103.15
2024-09-16,101.2
2024-09-13,103.01
2024-09-12,102.08
2024-09-11,103.02
2024-09-10,103.13
2024-09-09,103.9
2024-09-06,103.54
2024-09-05,102.62
2024-09-04,103.08
2024-09-03,105.75
2024-09-02,108.03
2024-08-29,109.49
2024-08-28,109.49
2024-08-27,108.19
2024-08-26,107.87
2024-08-23,107.67
2024-08-22,109.13
2024-08-21,108.09
2024-08-20,109.17
2024-08-19,110.54
2024-08-16,109.49
2024-08-15,111.42
2024-08-14,110.45
2024-08-13,110.78
2024-08-12,112.28
2024-08-09,111.82
2024-08-08,111.2
2024-08-07,110.86
2024-08-06,110.54
2024-08-05,108.91
2024-08-02,111.22
2024-08-01,111.15
2024-07-31,107.92
2024-07-30,107.41
2024-07-29,106.49
2024-07-26,97.75
2024-07-25,97.97
2024-07-24,98.16
2024-07-23,96.96
2024-07-22,96.42
2024-07-19,96.68
2024-07-18,96.02
2024-07-17,95.62
2024-07-16,97.71
2024-07-15,97.42
2024-07-12,95.62
2024-07-11,94.15
2024-07-10,94.05
2024-07-09,95.24
2024-07-08,96.53
2024-07-05,96.87
2024-07-04,98.55
2024-07-03,96.2
2024-07-02,96.08
2024-07-01,96.37
2024-06-28,101.83
2024-06-27,101.83
2024-06-26,101.7
2024-06-25,101.64
2024-06-24,100.99
2024-06-21,101.0
2024-06-20,103.46
2024-06-19,103.08
2024-06-18,101.71
2024-06-17,101.66
2024-06-14,102.4
2024-06-13,103.09
2024-06-12,101.29
2024-06-11,101.14
2024-06-10,101.81
2024-06-07,99.98
2024-06-06,100.86
2024-06-05,103.12
2024-06-04,107.45
2024-06-03,109.15
2024-05-31,97.23
2024-05-30,97.42
2024-05-29,97.41
2024-05-28,96.55
2024-05-27,95.85
2024-05-24,96.89
2024-05-23,97.27
2024-05-22,97.05
2024-05-21,98.39
2024-05-20,97.41
2024-05-17,96.6
2024-05-16,97.97
2024-05-15,97.02
2024-05-14,97.25
2024-05-13,97.79
2024-05-10,99.24
2024-05-09,99.94
2024-05-08,98.62
2024-05-07,101.57
2024-05-06,101.52
2024-05-03,99.57
2024-05-02,100.61
2024-05-01,99.97
2024-04-30,96.44
2024-04-29,94.47
2024-04-26,110.35
2024-04-25,110.5
2024-04-24,110.5
2024-04-23,111.1
2024-04-22,111.38
2024-04-19,112.62
2024-04-18,113.07
2024-04-17,112.79
2024-04-16,114.44
2024-04-15,113.6
2024-04-12,113.96
2024-04-11,112.56
2024-04-10,110.26
2024-04-09,108.76
2024-04-08,108.66
2024-04-05,108.79
2024-04-04,107.49
2024-04-03,108.74
2024-04-02,113.38
2024-04-01,111.27
2024-03-28,105.7
2024-03-27,105.4
2024-03-26,104.87
2024-03-25,104.96
2024-03-22,104.93
2024-03-21,103.62
2024-03-20,102.22
2024-03-19,103.95
2024-03-18,103.15
2024-03-15,103.11
2024-03-14,103.13
2024-03-13,100.28
2024-03-12,100.11
2024-03-11,99.45
2024-03-08,101.47
2024-03-07,100.94
2024-03-06,103.32
2024-03-05,103.85
2024-03-04,102.32
2024-03-01,98.7
2024-02-29,96.6
2024-02-28,96.4
2024-02-27,92.31
2024-02-26,91.11
2024-02-23,88.3
2024-02-22,88.44
2024-02-21,88.03
2024-02-20,87.46
2024-02-19,87.58
2024-02-16,87.7
2024-02-15,87.69
2024-02-14,87.44
2024-02-13,87.86
2024-02-12,87.73
2024-02-09,89.03
2024-02-08,90.61
2024-02-07,91.52
2024-02-06,91.68
2024-02-05,91.36
2024-02-02,91.21
2024-02-01,89.49
2024-01-31,92.1
2024-01-30,88.67
2024-01-29,87.03
2024-01-26,97.67
2024-01-25,97.35
2024-01-24,97.18
2024-01-23,97.19
2024-01-22,96.8
2024-01-19,97.27
2024-01-18,98.44
2024-01-17,98.43
2024-01-16,99.08
2024-01-15,98.18
2024-01-12,99.35
2024-01-11,97.08
2024-01-10,99.34
2024-01-09,101.8
2024-01-08,103.37
2024-01-05,106.01
2024-01-04,102.58
2024-01-03,99.75
2024-01-02,97.0
2023-12-29,106.56
2023-12-28,105.98
2023-12-27,105.79
2023-12-26,102.78
2023-12-22,105.34
2023-12-21,105.13
2023-12-20,105.94
2023-12-19,105.53
2023-12-18,107.29
2023-12-15,107.38
2023-12-14,107.17
2023-12-13,108.25
2023-12-12,109.1
2023-12-11,113.28
2023-12-08,114.18
2023-12-07,112.76
2023-12-06,112.13
2023-12-05,109.24
2023-12-04,109.76
2023-12-01,110.63
2023-11-30,109.18
2023-11-29,104.27
2023-11-28,104.44
2023-11-27,106.53
2023-11-24,113.11
2023-11-23,113.36
2023-11-22,112.85
2023-11-21,112.16
2023-11-20,111.95
2023-11-17,110.83
2023-11-16,113.05
2023-11-15,113.76
2023-11-14,114.39
2023-11-13,116.53
2023-11-10,116.72
2023-11-09,118.6
2023-11-08,116.8
2023-11-07,113.08
2023-11-06,112.15
2023-11-03,116.05
2023-11-02,116.87
2023-11-01,115.82
2023-10-31,116.74
2023-10-30,121.13
2023-10-27,128.72
2023-10-26,128.76
2023-10-25,128.5
2023-10-24,129.48
2023-10-23,128.63
2023-10-20,130.11
2023-10-19,129.93
2023-10-18,131.1
2023-10-17,130.95
2023-10-16,131.17
2023-10-13,131.64
2023-10-12,127.72
2023-10-11,122.63
2023-10-10,122.8
2023-10-09,119.72
2023-10-06,115.97
2023-10-05,113.25
2023-10-04,113.36
2023-10-03,115.42
2023-10-02,119.9
2023-09-29,116.45
2023-09-28,116.41
2023-09-27,117.21
2023-09-26,117.26
2023-09-25,115.71
2023-09-22,114.75
2023-09-21,114.68
2023-09-20,114.87
2023-09-19,114.68
2023-09-18,114.56
2023-09-15,114.51
2023-09-14,113.99
2023-09-13,112.61
2023-09-12,110.44
2023-09-11,108.99
2023-09-08,109.19
2023-09-07,109.02
2023-09-06,108.63
2023-09-05,111.3
2023-09-04,108.66
2023-09-01,108.4
2023-08-31,109.53
2023-08-30,111.87
2023-08-29,113.13
2023-08-28,115.06
2023-08-25,109.05
2023-08-24,109.23
2023-08-23,108.86
2023-08-22,109.51
2023-08-21,108.75
2023-08-18,107.17
2023-08-17,106.71
2023-08-16,106.46
2023-08-15,107.05
2023-08-14,105.99
2023-08-11,106.24
2023-08-10,106.97
2023-08-09,105.52
2023-08-08,104.73
2023-08-07,102.0
2023-08-04,98.16
2023-08-03,99.1
2023-08-02,96.21
2023-08-01,94.6
2023-07-31,95.68
2023-07-28,100.55
2023-07-27,101.11
2023-07-26,100.33
2023-07-25,100.51
2023-07-24,100.35
2023-07-21,99.23
2023-07-20,98.57
2023-07-19,96.4
2023-07-18,97.0
2023-07-17,92.52
2023-07-14,92.58
2023-07-13,92.36
2023-07-12,93.49
2023-07-11,96.2
2023-07-10,100.86
2023-07-07,105.98
2023-07-06,107.67
2023-07-05,113.84
2023-07-04,113.29
2023-07-03,111.26
2023-06-30,105.74
2023-06-29,105.72
2023-06-28,105.35
2023-06-27,104.9
2023-06-26,105.42
2023-06-23,104.79
2023-06-22,105.08
2023-06-21,106.29
2023-06-20,107.31
2023-06-19,104.42
2023-06-16,104.9
2023-06-15,106.41
2023-06-14,107.44
2023-06-13,108.88
2023-06-12,106.57
2023-06-09,107.53
2023-06-08,104.69
2023-06-07,102.82
2023-06-06,99.71
2023-06-05,103.63
2023-06-02,94.01
2023-06-01,87.3
2023-05-31,89.35
2023-05-30,86.64
2023-05-29,92.39
2023-05-26,110.06
2023-05-25,110.6
2023-05-24,110.1
2023-05-23,110.46
2023-05-22,110.05
2023-05-19,109.66
2023-05-18,108.52
2023-05-17,109.3
2023-05-16,108.16
2023-05-15,108.64
2023-05-12,109.29
2023-05-11,109.07
2023-05-10,111.49
2023-05-09,113.99
2023-05-08,115.52
2023-05-05,114.28
2023-05-04,113.76
2023-05-03,118.83
2023-05-02,123.71
2023-05-01,124.3
2023-04-28,125.78
2023-04-27,126.97
2023-04-26,126.91
2023-04-25,127.56
2023-04-24,125.61
2023-04-21,125.56
2023-04-20,126.37
2023-04-19,125.96
2023-04-18,124.9
2023-04-17,124.47
2023-04-14,122.48
2023-04-13,121.67
2023-04-12,121.65
2023-04-11,118.61
2023-04-10,124.38
2023-04-06,123.73
2023-04-05,127.44
2023-04-04,131.47
