,Datum,Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh),temperature_2m_max,temperature_2m_min,temperature_2m_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
0,2020-01-01,468837.03,441093.57,34.964166666666664,2.4919999,-6.008,-1.8871669,29737.658,23955.645,0.0,0.0,0.0,9.028754,18.0
1,2020-01-02,505002.46,605620.76,38.869166666666665,5.492,-3.358,1.7107501,29806.922,21600.0,0.3,0.3,0.0,21.566975,43.92
2,2020-01-03,427798.33,968577.88,26.11125,5.192,2.5419998,3.3940837,29881.408,2552.6797,3.4,3.2,0.14,27.397867,56.519997
3,2020-01-04,411321.39999999997,987041.46,20.322916666666668,2.842,-0.45799997,1.1232499,29960.994,22577.332,0.2,0.2,0.0,20.929594,45.36
4,2020-01-05,508187.8,514534.0,35.5525,3.192,-3.5080001,-0.32050005,30045.52,24541.53,0.0,0.0,0.0,10.163227,21.96
5,2020-01-06,642899.08,603746.09,38.134166666666665,2.142,-3.558,-0.018416548,30134.854,0.0,0.4,0.4,0.0,11.928989,24.119999
6,2020-01-07,744675.06,678045.61,40.52375,2.9919999,-0.8579999,1.21075,30228.84,0.0,1.3,1.3,0.0,9.449572,20.16
7,2020-01-08,744989.3,758546.49,33.581250000000004,6.542,2.592,4.3045,30327.334,5210.62,1.6000001,1.6000001,0.0,12.303366,24.48
8,2020-01-09,677095.1,727855.02,36.248333333333335,8.992001,2.942,6.2128334,30430.186,19675.104,1.4000001,1.4000001,0.0,15.328561,30.960001
9,2020-01-10,657416.93,815878.37,34.79958333333333,5.342,-0.80799997,2.875333,30537.254,11127.82,1.4000001,1.4000001,0.0,17.811815,37.44
10,2020-01-11,572021.32,727147.7,31.855833333333333,4.292,-3.0080001,-0.3975834,30648.395,20029.615,0.0,0.0,0.0,10.233123,23.4
11,2020-01-12,412241.19,982066.01,22.6375,2.392,-0.55799997,1.2024165,30763.459,0.0,0.2,0.2,0.0,10.703569,21.96
12,2020-01-13,691466.79,653957.79,37.68,5.3919997,-1.808,1.03575,30882.506,21575.455,0.0,0.0,0.0,14.241629,31.319998
13,2020-01-14,481688.37,1118377.74,23.355416666666667,5.292,-1.058,1.1836667,31006.871,26273.613,0.0,0.0,0.0,14.458382,28.44
14,2020-01-15,479511.53,1077928.6,24.959999999999997,6.1419997,-1.308,2.2378333,31136.562,20261.395,0.2,0.2,0.0,10.44,19.8
15,2020-01-16,679178.75,694046.9,38.17,3.4919999,-2.5080001,0.11908326,31271.307,25607.344,0.3,0.3,0.0,10.30883,24.84
16,2020-01-17,664758.83,797974.43,36.895,4.692,0.041999996,2.5336664,31410.826,8195.466,0.8000001,0.8000001,0.0,12.6462,27.0
17,2020-01-18,589456.65,721567.68,31.847916666666666,2.842,-1.208,0.18575002,31554.863,8706.287,0.4,0.0,0.28,10.30883,22.68
18,2020-01-19,621767.71,481595.16,33.8925,4.342,-3.7080002,-0.026750067,31703.14,25751.621,0.0,0.0,0.0,9.028754,19.44
19,2020-01-20,951282.54,434619.63,44.53375,3.0419998,-4.808,-2.124667,31855.39,27233.918,0.0,0.0,0.0,7.729527,12.959999
20,2020-01-21,954013.55,603469.44,41.597500000000004,1.092,-5.758,-2.1205003,32011.37,21891.113,0.0,0.0,0.0,8.39657,19.08
21,2020-01-22,1039493.22,439948.36,45.90208333333334,3.442,-5.158,-1.1934166,32170.818,24427.785,0.0,0.0,0.0,9.0,20.519999
22,2020-01-23,1085335.81,308342.3,51.5375,1.592,-4.958,-2.085084,32333.48,19454.076,0.0,0.0,0.0,7.9036193,18.72
23,2020-01-24,1062287.93,419899.31,50.244166666666665,3.0419998,-3.558,-0.12466669,32499.13,9402.3545,0.0,0.0,0.0,6.9527545,14.04
24,2020-01-25,888754.52,375213.69,40.35,2.5419998,-1.058,0.2045,32667.518,0.0,0.70000005,0.70000005,0.0,9.904906,22.319998
